날짜,시도지역코드,발생건수(건)
20140101,11,715
20140101,26,554
20140101,27,370
20140101,28,437
20140101,29,480
20140101,30,238
20140101,31,144
20140101,41,1460
20140101,42,193
20140101,43,335
20140101,44,420
20140101,45,626
20140101,46,829
20140101,47,582
20140101,48,672
20140101,49,128
20140101,99,8183
20140102,11,8139
20140102,26,3135
20140102,27,2630
20140102,28,2993
20140102,29,1906
20140102,30,1254
20140102,31,1210
20140102,41,11082
20140102,42,1312
20140102,43,1609
20140102,44,2412
20140102,45,2481
20140102,46,2679
20140102,47,2960
20140102,48,3608
20140102,49,505
20140102,99,49933
20140103,11,6997
20140103,26,2798
20140103,27,2133
20140103,28,2623
20140103,29,1564
20140103,30,1114
20140103,31,983
20140103,41,9493
20140103,42,1173
20140103,43,1402
20140103,44,1936
20140103,45,2097
20140103,46,2174
20140103,47,2410
20140103,48,2996
20140103,49,538
20140103,99,42445
20140104,11,6137
20140104,26,2146
20140104,27,1994
20140104,28,2105
20140104,29,1402
20140104,30,989
20140104,31,831
20140104,41,8021
20140104,42,733
20140104,43,1116
20140104,44,1441
20140104,45,1625
20140104,46,1757
20140104,47,1853
20140104,48,2483
20140104,49,330
20140104,99,34976
20140105,11,534
20140105,26,178
20140105,27,214
20140105,28,274
20140105,29,285
20140105,30,109
20140105,31,131
20140105,41,1113
20140105,42,67
20140105,43,136
20140105,44,196
20140105,45,217
20140105,46,352
20140105,47,210
20140105,48,165
20140105,49,35
20140105,99,4222
20140106,11,8992
20140106,26,3320
20140106,27,2647
20140106,28,3244
20140106,29,1982
20140106,30,1365
20140106,31,1226
20140106,41,11405
20140106,42,1474
20140106,43,1631
20140106,44,2488
20140106,45,2743
20140106,46,2764
20140106,47,2967
20140106,48,3791
20140106,49,596
20140106,99,52657
20140107,11,6322
20140107,26,2437
20140107,27,1870
20140107,28,2265
20140107,29,1515
20140107,30,975
20140107,31,888
20140107,41,8223
20140107,42,1016
20140107,43,1294
20140107,44,1760
20140107,45,1803
20140107,46,2040
20140107,47,2178
20140107,48,2632
20140107,49,452
20140107,99,37687
20140108,11,6219
20140108,26,2075
20140108,27,1697
20140108,28,1987
20140108,29,1401
20140108,30,909
20140108,31,771
20140108,41,7734
20140108,42,917
20140108,43,1107
20140108,44,1639
20140108,45,1788
20140108,46,1779
20140108,47,1948
20140108,48,2331
20140108,49,396
20140108,99,34711
20140109,11,5720
20140109,26,2324
20140109,27,1775
20140109,28,1982
20140109,29,1381
20140109,30,874
20140109,31,806
20140109,41,7190
20140109,42,919
20140109,43,1088
20140109,44,1541
20140109,45,1747
20140109,46,1893
20140109,47,1966
20140109,48,2574
20140109,49,390
20140109,99,34184
20140110,11,6600
20140110,26,2473
20140110,27,1843
20140110,28,2199
20140110,29,1455
20140110,30,955
20140110,31,890
20140110,41,8107
20140110,42,1018
20140110,43,1226
20140110,44,1625
20140110,45,1871
20140110,46,1932
20140110,47,1976
20140110,48,2742
20140110,49,473
20140110,99,37398
20140111,11,5941
20140111,26,2080
20140111,27,1888
20140111,28,1976
20140111,29,1369
20140111,30,916
20140111,31,862
20140111,41,7728
20140111,42,719
20140111,43,1028
20140111,44,1462
20140111,45,1487
20140111,46,1638
20140111,47,1834
20140111,48,2454
20140111,49,338
20140111,99,33736
20140112,11,500
20140112,26,147
20140112,27,241
20140112,28,202
20140112,29,272
20140112,30,116
20140112,31,112
20140112,41,1233
20140112,42,73
20140112,43,141
20140112,44,192
20140112,45,234
20140112,46,312
20140112,47,235
20140112,48,150
20140112,49,62
20140112,99,4222
20140113,11,8814
20140113,26,3289
20140113,27,2547
20140113,28,2990
20140113,29,1902
20140113,30,1301
20140113,31,1195
20140113,41,11228
20140113,42,1427
20140113,43,1738
20140113,44,2387
20140113,45,2626
20140113,46,2633
20140113,47,2977
20140113,48,3690
20140113,49,642
20140113,99,51410
20140114,11,6235
20140114,26,2289
20140114,27,1937
20140114,28,2172
20140114,29,1467
20140114,30,942
20140114,31,863
20140114,41,8140
20140114,42,952
20140114,43,1207
20140114,44,1670
20140114,45,1726
20140114,46,2042
20140114,47,2132
20140114,48,2672
20140114,49,482
20140114,99,36935
20140115,11,6350
20140115,26,2167
20140115,27,1784
20140115,28,2115
20140115,29,1489
20140115,30,875
20140115,31,919
20140115,41,8087
20140115,42,1015
20140115,43,1191
20140115,44,1610
20140115,45,1843
20140115,46,1944
20140115,47,1992
20140115,48,2496
20140115,49,435
20140115,99,36323
20140116,11,6250
20140116,26,2287
20140116,27,1913
20140116,28,2221
20140116,29,1545
20140116,30,927
20140116,31,930
20140116,41,8064
20140116,42,990
20140116,43,1254
20140116,44,1816
20140116,45,1773
20140116,46,2008
20140116,47,2116
20140116,48,2633
20140116,49,491
20140116,99,37238
20140117,11,6996
20140117,26,2518
20140117,27,2017
20140117,28,2381
20140117,29,1579
20140117,30,1053
20140117,31,974
20140117,41,9068
20140117,42,1088
20140117,43,1391
20140117,44,1817
20140117,45,1897
20140117,46,2047
20140117,47,2287
20140117,48,2805
20140117,49,502
20140117,99,40432
20140118,11,6299
20140118,26,2054
20140118,27,1877
20140118,28,2137
20140118,29,1517
20140118,30,979
20140118,31,891
20140118,41,8498
20140118,42,834
20140118,43,1184
20140118,44,1566
20140118,45,1593
20140118,46,1776
20140118,47,1946
20140118,48,2350
20140118,49,423
20140118,99,35937
20140119,11,600
20140119,26,170
20140119,27,263
20140119,28,379
20140119,29,262
20140119,30,128
20140119,31,139
20140119,41,1386
20140119,42,75
20140119,43,172
20140119,44,210
20140119,45,195
20140119,46,345
20140119,47,243
20140119,48,173
20140119,49,51
20140119,99,4792
20140120,11,9105
20140120,26,3432
20140120,27,2823
20140120,28,3256
20140120,29,2191
20140120,30,1409
20140120,31,1298
20140120,41,11656
20140120,42,1457
20140120,43,1739
20140120,44,2388
20140120,45,2674
