날짜,시도지역코드,발생건수(건)
20140101,11,246
20140101,26,138
20140101,27,85
20140101,28,138
20140101,29,81
20140101,30,123
20140101,31,41
20140101,41,481
20140101,42,44
20140101,43,118
20140101,44,136
20140101,45,102
20140101,46,184
20140101,47,181
20140101,48,158
20140101,49,36
20140101,99,2293
20140102,11,10963
20140102,26,4068
20140102,27,3401
20140102,28,3349
20140102,29,1810
20140102,30,1796
20140102,31,1324
20140102,41,13139
20140102,42,1767
20140102,43,1995
20140102,44,2566
20140102,45,2192
20140102,46,2709
20140102,47,3591
20140102,48,4419
20140102,49,631
20140102,99,59738
20140103,11,10113
20140103,26,3610
20140103,27,2933
20140103,28,2978
20140103,29,1571
20140103,30,1654
20140103,31,1137
20140103,41,11571
20140103,42,1765
20140103,43,1765
20140103,44,2218
20140103,45,1822
20140103,46,2235
20140103,47,3116
20140103,48,3799
20140103,49,563
20140103,99,52860
20140104,11,8043
20140104,26,2766
20140104,27,2469
20140104,28,2487
20140104,29,1239
20140104,30,1533
20140104,31,901
20140104,41,9565
20140104,42,1216
20140104,43,1359
20140104,44,1843
20140104,45,1462
20140104,46,1774
20140104,47,2378
20140104,48,3034
20140104,49,388
20140104,99,42472
20140105,11,407
20140105,26,162
20140105,27,52
20140105,28,157
20140105,29,47
20140105,30,133
20140105,31,88
20140105,41,782
20140105,42,64
20140105,43,102
20140105,44,110
20140105,45,66
20140105,46,108
20140105,47,80
20140105,48,153
20140105,49,33
20140105,99,2545
20140106,11,12122
20140106,26,4340
20140106,27,3660
20140106,28,3805
20140106,29,1942
20140106,30,2113
20140106,31,1319
20140106,41,14159
20140106,42,2079
20140106,43,2080
20140106,44,2917
20140106,45,2394
20140106,46,2853
20140106,47,3758
20140106,48,4502
20140106,49,672
20140106,99,64730
20140107,11,9325
20140107,26,3334
20140107,27,2751
20140107,28,2958
20140107,29,1539
20140107,30,1500
20140107,31,1043
20140107,41,11025
20140107,42,1595
20140107,43,1618
20140107,44,2200
20140107,45,1783
20140107,46,2109
20140107,47,2788
20140107,48,3585
20140107,49,509
20140107,99,49676
20140108,11,8190
20140108,26,2554
20140108,27,2427
20140108,28,2553
20140108,29,1318
20140108,30,1400
20140108,31,906
20140108,41,9678
20140108,42,1457
20140108,43,1413
20140108,44,1917
20140108,45,1509
20140108,46,1968
20140108,47,2430
20140108,48,2910
20140108,49,455
20140108,99,43095
20140109,11,7480
20140109,26,2710
20140109,27,2159
20140109,28,2285
20140109,29,1231
20140109,30,1330
20140109,31,898
20140109,41,8834
20140109,42,1236
20140109,43,1321
20140109,44,1809
20140109,45,1535
20140109,46,1802
20140109,47,2442
20140109,48,3046
20140109,49,401
20140109,99,40528
20140110,11,8980
20140110,26,3100
20140110,27,2711
20140110,28,2808
20140110,29,1394
20140110,30,1603
20140110,31,977
20140110,41,10258
20140110,42,1524
20140110,43,1483
20140110,44,2007
20140110,45,1673
20140110,46,2095
20140110,47,2597
20140110,48,3390
20140110,49,467
20140110,99,47079
20140111,11,7787
20140111,26,2590
20140111,27,2398
20140111,28,2437
20140111,29,1291
20140111,30,1439
20140111,31,869
20140111,41,9648
20140111,42,1226
20140111,43,1318
20140111,44,1727
20140111,45,1355
20140111,46,1721
20140111,47,2240
20140111,48,2814
20140111,49,351
20140111,99,41226
20140112,11,351
20140112,26,149
20140112,27,72
20140112,28,132
20140112,29,41
20140112,30,123
20140112,31,69
20140112,41,727
20140112,42,46
20140112,43,130
20140112,44,169
20140112,45,72
20140112,46,105
20140112,47,84
20140112,48,144
20140112,49,40
20140112,99,2459
20140113,11,11502
20140113,26,4277
20140113,27,3481
20140113,28,3573
20140113,29,1853
20140113,30,1934
20140113,31,1373
20140113,41,13889
20140113,42,2003
20140113,43,2101
20140113,44,2719
20140113,45,2265
20140113,46,2804
20140113,47,3652
20140113,48,4489
20140113,49,621
20140113,99,62555
20140114,11,9303
20140114,26,3279
20140114,27,2757
20140114,28,2868
20140114,29,1448
20140114,30,1478
20140114,31,1025
20140114,41,10995
20140114,42,1630
20140114,43,1593
20140114,44,2066
20140114,45,1748
20140114,46,2154
20140114,47,2715
20140114,48,3388
20140114,49,494
20140114,99,48948
20140115,11,8863
20140115,26,3119
20140115,27,2546
20140115,28,2645
20140115,29,1431
20140115,30,1539
20140115,31,968
20140115,41,10521
20140115,42,1446
20140115,43,1452
20140115,44,1978
20140115,45,1569
20140115,46,2105
20140115,47,2609
20140115,48,3468
20140115,49,485
20140115,99,46758
20140116,11,8554
20140116,26,3204
20140116,27,2403
20140116,28,2763
20140116,29,1332
20140116,30,1435
20140116,31,979
20140116,41,10222
20140116,42,1390
20140116,43,1468
20140116,44,1998
20140116,45,1656
20140116,46,2120
20140116,47,2727
20140116,48,3392
20140116,49,461
20140116,99,46116
20140117,11,9462
20140117,26,3439
20140117,27,2769
20140117,28,2917
20140117,29,1469
20140117,30,1572
20140117,31,1100
20140117,41,10997
20140117,42,1663
20140117,43,1578
20140117,44,2167
20140117,45,1724
20140117,46,2233
20140117,47,2951
20140117,48,3721
20140117,49,520
20140117,99,50294
20140118,11,7706
20140118,26,2603
20140118,27,2456
20140118,28,2448
20140118,29,1280
20140118,30,1443
20140118,31,896
20140118,41,9555
20140118,42,1156
20140118,43,1355
20140118,44,1773
20140118,45,1377
20140118,46,1767
20140118,47,2367
20140118,48,3057
20140118,49,350
20140118,99,41609
20140119,11,330
20140119,26,138
20140119,27,66
20140119,28,162
20140119,29,43
20140119,30,130
20140119,31,66
20140119,41,879
20140119,42,60
20140119,43,120
20140119,44,158
20140119,45,69
20140119,46,115
20140119,47,92
20140119,48,139
20140119,49,35
20140119,99,2603
20140120,11,10727
20140120,26,4534
20140120,27,3815
20140120,28,3274
20140120,29,1885
20140120,30,1957
20140120,31,1376
20140120,41,12716
20140120,42,1872
20140120,43,1895
20140120,44,2563
20140120,45,2310
20140120,46,2915
20140120,47,3588
20140120,48,4660
20140120,49,647
20140120,99,60743
20140121,11,8891
20140121,26,3374
20140121,27,2725
20140121,28,2605
20140121,29,1262
20140121,30,1450
20140121,31,1033
20140121,41,10439
20140121,42,1367
20140121,43,1468
20140121,44,1814
20140121,45,1474
20140121,46,2006
20140121,47,2786
20140121,48,3658
20140121,49,475
20140121,99,46839
20140122,11,8576
20140122,26,3217
20140122,27,2605
20140122,28,2668
20140122,29,1383
20140122,30,1487
20140122,31,1024
20140122,41,10357
20140122,42,1378
20140122,43,1526
20140122,44,2059
20140122,45,1635
20140122,46,2242
20140122,47,2749
20140122,48,3538
20140122,49,496
20140122,99,46955
20140123,11,8754
20140123,26,3196
20140123,27,2454
20140123,28,2687
20140123,29,1393
20140123,30,1517
20140123,31,1011
20140123,41,10343
20140123,42,1411
20140123,43,1495
20140123,44,2018
20140123,45,1691
20140123,46,2066
20140123,47,2823
20140123,48,3428
20140123,49,476
20140123,99,46775
20140124,11,9915
20140124,26,3539
20140124,27,2893
20140124,28,2956
20140124,29,1509
20140124,30,1725
20140124,31,1105
20140124,41,11497
20140124,42,1724
20140124,43,1707
20140124,44,2268
20140124,45,1874
20140124,46,2276
20140124,47,3022
20140124,48,3826
20140124,49,535
20140124,99,52387
20140125,11,7975
20140125,26,2779
20140125,27,2494
20140125,28,2385
20140125,29,1267
20140125,30,1495
20140125,31,920
20140125,41,9516
20140125,42,1259
20140125,43,1377
20140125,44,1917
20140125,45,1442
20140125,46,1828
20140125,47,2378
20140125,48,3007
20140125,49,396
20140125,99,42451
20140126,11,397
20140126,26,148
20140126,27,67
20140126,28,162
20140126,29,54
20140126,30,112
20140126,31,92
20140126,41,797
20140126,42,39
20140126,43,108
20140126,44,134
20140126,45,69
20140126,46,127
20140126,47,113
20140126,48,142
20140126,49,44
20140126,99,2607
20140127,11,12655
20140127,26,4768
20140127,27,3962
20140127,28,3971
20140127,29,1921
20140127,30,2164
20140127,31,1463
20140127,41,15118
20140127,42,2298
20140127,43,2304
20140127,44,3076
20140127,45,2518
20140127,46,3045
20140127,47,4024
20140127,48,5047
20140127,49,657
20140127,99,69011
20140128,11,10565
20140128,26,3885
20140128,27,3236
20140128,28,3336
20140128,29,1631
20140128,30,1893
20140128,31,1211
20140128,41,12608
20140128,42,1986
20140128,43,1871
20140128,44,2530
20140128,45,1999
20140128,46,2511
20140128,47,3341
20140128,48,4234
20140128,49,582
20140128,99,57441
20140129,11,13135
20140129,26,4679
20140129,27,3796
20140129,28,4087
20140129,29,1976
20140129,30,2210
20140129,31,1538
20140129,41,15328
20140129,42,2142
20140129,43,2072
20140129,44,2922
20140129,45,2353
20140129,46,2896
20140129,47,3712
20140129,48,5030
20140129,49,674
20140129,99,68572
20140130,11,657
20140130,26,368
20140130,27,472
20140130,28,259
20140130,29,221
20140130,30,253
20140130,31,93
20140130,41,1052
20140130,42,207
20140130,43,303
20140130,44,376
20140130,45,257
20140130,46,559
20140130,47,445
20140130,48,513
20140130,49,91
20140130,99,6128
20140131,11,127
20140131,26,31
20140131,27,22
20140131,28,54
20140131,29,24
20140131,30,80
20140131,31,14
20140131,41,147
20140131,42,18
20140131,43,86
20140131,44,41
20140131,45,39
20140131,46,49
20140131,47,36
20140131,48,50
20140131,49,9
20140131,99,827
20140201,11,430
20140201,26,128
20140201,27,123
20140201,28,190
20140201,29,73
20140201,30,192
20140201,31,55
20140201,41,796
20140201,42,74
20140201,43,158
20140201,44,228
20140201,45,148
20140201,46,221
20140201,47,158
20140201,48,210
20140201,49,39
20140201,99,3223
20140202,11,456
20140202,26,178
20140202,27,84
20140202,28,214
20140202,29,46
20140202,30,138
20140202,31,87
20140202,41,882
20140202,42,60
20140202,43,159
20140202,44,194
20140202,45,76
20140202,46,139
20140202,47,135
20140202,48,152
20140202,49,24
20140202,99,3025
20140203,11,15997
20140203,26,5844
20140203,27,4808
20140203,28,4823
20140203,29,2616
20140203,30,2740
20140203,31,1833
20140203,41,19069
20140203,42,2704
20140203,43,2777
20140203,44,3754
20140203,45,2961
20140203,46,3599
20140203,47,4774
20140203,48,6150
20140203,49,808
20140203,99,85284
20140204,11,9616
20140204,26,3460
20140204,27,2853
20140204,28,2980
20140204,29,1491
20140204,30,1605
20140204,31,1100
20140204,41,11498
20140204,42,1725
20140204,43,1567
20140204,44,2190
20140204,45,1730
20140204,46,2249
20140204,47,2958
20140204,48,3610
20140204,49,475
20140204,99,51117
20140205,11,9493
20140205,26,3264
20140205,27,2702
20140205,28,2872
20140205,29,1368
20140205,30,1674
20140205,31,1077
20140205,41,11097
20140205,42,1572
20140205,43,1549
20140205,44,2003
20140205,45,1618
20140205,46,2147
20140205,47,2775
20140205,48,3538
20140205,49,468
20140205,99,49229
20140206,11,9564
20140206,26,3173
20140206,27,2431
20140206,28,2995
20140206,29,1461
20140206,30,1578
20140206,31,989
20140206,41,11399
20140206,42,1533
20140206,43,1601
20140206,44,2216
20140206,45,1774
20140206,46,1961
20140206,47,2803
20140206,48,3375
20140206,49,429
20140206,99,49299
20140207,11,10384
20140207,26,3209
20140207,27,2911
20140207,28,3151
20140207,29,1600
20140207,30,1835
20140207,31,1039
20140207,41,12078
20140207,42,1473
20140207,43,1733
20140207,44,2260
20140207,45,1926
20140207,46,2266
20140207,47,2777
20140207,48,3632
20140207,49,539
20140207,99,52833
20140208,11,8593
20140208,26,2930
20140208,27,2608
20140208,28,2726
20140208,29,1344
20140208,30,1553
20140208,31,922
20140208,41,10255
20140208,42,1081
20140208,43,1371
20140208,44,1945
20140208,45,1519
20140208,46,1745
20140208,47,2540
20140208,48,3227
20140208,49,394
20140208,99,44773
20140209,11,408
20140209,26,139
20140209,27,61
20140209,28,144
20140209,29,45
20140209,30,158
20140209,31,72
20140209,41,805
20140209,42,43
20140209,43,95
20140209,44,142
20140209,45,70
20140209,46,110
20140209,47,65
20140209,48,124
20140209,49,25
20140209,99,2506
20140210,11,12291
20140210,26,3902
20140210,27,3467
20140210,28,3816
20140210,29,1855
20140210,30,2102
20140210,31,861
20140210,41,14379
20140210,42,1644
20140210,43,2143
20140210,44,2899
20140210,45,2353
20140210,46,2914
20140210,47,3155
20140210,48,4592
20140210,49,579
20140210,99,62975
20140211,11,9374
20140211,26,2981
20140211,27,2782
20140211,28,2891
20140211,29,1459
20140211,30,1646
20140211,31,927
20140211,41,11066
20140211,42,1448
20140211,43,1575
20140211,44,2124
20140211,45,1748
20140211,46,2061
20140211,47,2626
20140211,48,3411
20140211,49,496
20140211,99,48630
20140212,11,8601
20140212,26,3061
20140212,27,2441
20140212,28,2612
20140212,29,1383
20140212,30,1538
20140212,31,948
20140212,41,10243
20140212,42,1499
20140212,43,1429
20140212,44,1953
20140212,45,1509
20140212,46,2041
20140212,47,2543
20140212,48,3334
20140212,49,474
20140212,99,45622
20140213,11,8347
20140213,26,2836
20140213,27,2228
20140213,28,2536
20140213,29,1339
20140213,30,1390
20140213,31,896
20140213,41,9698
20140213,42,1138
20140213,43,1319
20140213,44,1800
20140213,45,1591
20140213,46,1968
20140213,47,2394
20140213,48,3200
20140213,49,492
20140213,99,43189
20140214,11,9271
20140214,26,2970
20140214,27,2521
20140214,28,2687
20140214,29,1381
20140214,30,1579
20140214,31,908
20140214,41,10477
20140214,42,1411
20140214,43,1493
20140214,44,2011
20140214,45,1694
20140214,46,2139
20140214,47,2513
20140214,48,3053
20140214,49,499
20140214,99,46618
20140215,11,7706
20140215,26,2515
20140215,27,2322
20140215,28,2489
20140215,29,1240
20140215,30,1399
20140215,31,855
20140215,41,9441
20140215,42,1181
20140215,43,1389
20140215,44,1760
20140215,45,1328
20140215,46,1692
20140215,47,2244
20140215,48,2891
20140215,49,373
20140215,99,40841
20140216,11,420
20140216,26,162
20140216,27,50
20140216,28,177
20140216,29,39
20140216,30,117
20140216,31,76
20140216,41,822
20140216,42,33
20140216,43,109
20140216,44,158
20140216,45,51
20140216,46,86
20140216,47,93
20140216,48,106
20140216,49,38
20140216,99,2538
20140217,11,12363
20140217,26,4162
20140217,27,3468
20140217,28,3855
20140217,29,1925
20140217,30,2093
20140217,31,1266
20140217,41,14874
